"Notes"	"Gender"	"Gender Code"	"State"	"State Code"	"Age Group"	"Age Group Code"	"Year"	"Year Code"	Projected Populations
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2013"	"2013"	147149
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2014"	"2014"	147022
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2015"	"2015"	146966
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2016"	"2016"	146940
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2017"	"2017"	146902
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2018"	"2018"	146817
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2019"	"2019"	146643
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2020"	"2020"	146400
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2021"	"2021"	146178
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2022"	"2022"	146002
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2023"	"2023"	145944
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2024"	"2024"	146041
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2025"	"2025"	146303
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2026"	"2026"	146702
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2027"	"2027"	147252
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2028"	"2028"	147908
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2029"	"2029"	148671
	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"	"2030"	"2030"	149551
"Total"	"Female"	"F"	"Alabama"	"01"	"5-9 years"	"5-9"			3973885
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2004"	"2004"	157495
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2005"	"2005"	154972
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2006"	"2006"	152540
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2007"	"2007"	150501
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2008"	"2008"	148760
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2009"	"2009"	147899
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2010"	"2010"	148004
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2011"	"2011"	149634
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2012"	"2012"	150378
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2013"	"2013"	151036
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2014"	"2014"	151591
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2015"	"2015"	151611
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2016"	"2016"	150298
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2017"	"2017"	150128
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2018"	"2018"	150071
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2019"	"2019"	150039
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2020"	"2020"	150094
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2021"	"2021"	150184
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2022"	"2022"	150263
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2023"	"2023"	150329
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2024"	"2024"	150312
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2025"	"2025"	150250
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2026"	"2026"	150173
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2027"	"2027"	150115
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2028"	"2028"	150143
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2029"	"2029"	150306
	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"	"2030"	"2030"	150616
"Total"	"Female"	"F"	"Alabama"	"01"	"10-14 years"	"10-14"			4067742
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2004"	"2004"	155351
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2005"	"2005"	156714
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2006"	"2006"	157868
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2007"	"2007"	158835
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2008"	"2008"	159260
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2009"	"2009"	158309
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2010"	"2010"	155917
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2011"	"2011"	153644
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2012"	"2012"	151781
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2013"	"2013"	150228
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2014"	"2014"	149537
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2015"	"2015"	149801
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2016"	"2016"	151550
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2017"	"2017"	152387
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2018"	"2018"	153130
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2019"	"2019"	153748
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2020"	"2020"	153846
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2021"	"2021"	152632
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2022"	"2022"	152586
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2023"	"2023"	152664
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2024"	"2024"	152779
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2025"	"2025"	153002
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2026"	"2026"	153249
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2027"	"2027"	153450
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2028"	"2028"	153604
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2029"	"2029"	153645
	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"	"2030"	"2030"	153586
"Total"	"Female"	"F"	"Alabama"	"01"	"15-19 years"	"15-19"			4153103
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2004"	"2004"	152815
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2005"	"2005"	149683
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2006"	"2006"	146807
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2007"	"2007"	145464
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2008"	"2008"	145131
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2009"	"2009"	145582
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2010"	"2010"	146932
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2011"	"2011"	148077
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2012"	"2012"	149062
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2013"	"2013"	149568
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2014"	"2014"	148764
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2015"	"2015"	146604
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2016"	"2016"	144618
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2017"	"2017"	143053
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2018"	"2018"	141763
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2019"	"2019"	141303
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2020"	"2020"	141749
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2021"	"2021"	143584
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2022"	"2022"	144494
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2023"	"2023"	145296
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2024"	"2024"	145987
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2025"	"2025"	146192
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2026"	"2026"	145085
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2027"	"2027"	145141
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2028"	"2028"	145282
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2029"	"2029"	145441
	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"	"2030"	"2030"	145677
"Total"	"Female"	"F"	"Alabama"	"01"	"20-24 years"	"20-24"			3939154
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2004"	"2004"	147190
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2005"	"2005"	149060
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2006"	"2006"	151011
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2007"	"2007"	150442
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2008"	"2008"	148395
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2009"	"2009"	145884
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2010"	"2010"	142780
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2011"	"2011"	139897
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2012"	"2012"	138547
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2013"	"2013"	138201
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2014"	"2014"	138657
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2015"	"2015"	140035
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2016"	"2016"	141267
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2017"	"2017"	142401
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2018"	"2018"	143117
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2019"	"2019"	142563
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2020"	"2020"	140670
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2021"	"2021"	138940
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2022"	"2022"	137638
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2023"	"2023"	136593
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2024"	"2024"	136350
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2025"	"2025"	136961
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2026"	"2026"	138956
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2027"	"2027"	139967
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2028"	"2028"	140846
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2029"	"2029"	141589
	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"	"2030"	"2030"	141811
"Total"	"Female"	"F"	"Alabama"	"01"	"25-29 years"	"25-29"			3829768
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2004"	"2004"	154757
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2005"	"2005"	151745
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2006"	"2006"	148070
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2007"	"2007"	146473
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2008"	"2008"	146776
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2009"	"2009"	148154
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2010"	"2010"	150055
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2011"	"2011"	152028
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2012"	"2012"	151507
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2013"	"2013"	149511
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2014"	"2014"	147072
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2015"	"2015"	144025
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2016"	"2016"	141220
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2017"	"2017"	139941
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2018"	"2018"	139665
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2019"	"2019"	140213
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2020"	"2020"	141718
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2021"	"2021"	143109
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2022"	"2022"	144424
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2023"	"2023"	145377
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2024"	"2024"	145093
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2025"	"2025"	143507
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2026"	"2026"	142054
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2027"	"2027"	140984
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2028"	"2028"	140130
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2029"	"2029"	140037
	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"	"2030"	"2030"	140747
"Total"	"Female"	"F"	"Alabama"	"01"	"30-34 years"	"30-34"			3918392
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2004"	"2004"	155276
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2005"	"2005"	153776
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2006"	"2006"	155013
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2007"	"2007"	156131
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2008"	"2008"	156425
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2009"	"2009"	155275
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2010"	"2010"	152376
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2011"	"2011"	148802
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2012"	"2012"	147286
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2013"	"2013"	147650
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2014"	"2014"	149100
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2015"	"2015"	151056
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2016"	"2016"	153073
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2017"	"2017"	152610
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2018"	"2018"	150661
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2019"	"2019"	148273
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2020"	"2020"	145292
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2021"	"2021"	142568
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2022"	"2022"	141389
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2023"	"2023"	141238
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2024"	"2024"	141941
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2025"	"2025"	143599
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2026"	"2026"	145146
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2027"	"2027"	146620
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2028"	"2028"	147696
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2029"	"2029"	147496
	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"	"2030"	"2030"	145981
"Total"	"Female"	"F"	"Alabama"	"01"	"35-39 years"	"35-39"			4021749
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2004"	"2004"	174047
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2005"	"2005"	171883
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2006"	"2006"	167822
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2007"	"2007"	162953
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2008"	"2008"	158351
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2009"	"2009"	154541
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2010"	"2010"	153106
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2011"	"2011"	154383
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2012"	"2012"	155547
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2013"	"2013"	155887
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2014"	"2014"	154798
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2015"	"2015"	152001
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2016"	"2016"	148544
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2017"	"2017"	147102
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2018"	"2018"	147533
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2019"	"2019"	149030
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2020"	"2020"	151023
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2021"	"2021"	153085
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2022"	"2022"	152675
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2023"	"2023"	150789
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2024"	"2024"	148475
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2025"	"2025"	145591
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2026"	"2026"	142953
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2027"	"2027"	141826
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2028"	"2028"	141713
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2029"	"2029"	142442
	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"	"2030"	"2030"	144108
"Total"	"Female"	"F"	"Alabama"	"01"	"40-44 years"	"40-44"			4122208
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2004"	"2004"	175105
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2005"	"2005"	176157
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2006"	"2006"	176780
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2007"	"2007"	175949
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2008"	"2008"	174352
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2009"	"2009"	173035
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2010"	"2010"	170934
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2011"	"2011"	166938
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2012"	"2012"	162143
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2013"	"2013"	157635
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2014"	"2014"	153920
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2015"	"2015"	152558
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2016"	"2016"	153874
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2017"	"2017"	155086
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2018"	"2018"	155469
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2019"	"2019"	154437
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2020"	"2020"	151707
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2021"	"2021"	148311
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2022"	"2022"	146931
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2023"	"2023"	147415
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2024"	"2024"	148967
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2025"	"2025"	151018
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2026"	"2026"	153130
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2027"	"2027"	152758
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2028"	"2028"	150897
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2029"	"2029"	148583
	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"	"2030"	"2030"	145703
"Total"	"Female"	"F"	"Alabama"	"01"	"45-49 years"	"45-49"			4279792
	"Female"	"F"	"Alabama"	"01"	"50-54 years"	"50-54"	"2004"	"2004"	158910
	"Female"	"F"	"Alabama"	"01"	"50-54 years"	"50-54"	"2005"	"2005"	162281
	"Female"	"F"	"Alabama"	"01"	"50-54 years"	"50-54"	"2006"	"2006"	166027
	"Female"	"F"	"Alabama"	"01"	"50-54 years"	"50-54"	"2007"	"2007"	169567
	"Female"	"F"	"Alabama"	"01"	"50-54 years"	"50-54"	"2008"	"2008"	172645
	"Female"	"F"	"Alabama"	"01"	"50-54 years"	"50-54"	"2009"	"2009"	174231
	"Female"	"F"	"Alabama"	"01"	"50-54 years"	"50-54"	"2010"	"2010"	175336
	"Female"	"F"	"Alabama"	"01"	"50-54 years"	"50-54"	"2011"	"2011"	175982
	"Female"	"F"	"Alabama"	"01"	"50-54 years"	"50-54"	"2012"	"2012"	175213
	"Female"	"F"	"Alabama"	"01"	"50-54 years"	"50-54"	"2013"	"2013"	173680
